MutationSymbol,TRANSCRIPT,COHORT,CANCER_TYPE,METHODS,MUTATIONS,SAMPLES,%_SAMPLES_COHORT,QVALUE_COMBINATION,ROLE,CGC_GENE,CGC_CANCER_GENE,DOMAIN,2D_CLUSTERS,3D_CLUSTERS,EXCESS_MIS,EXCESS_NON,EXCESS_SPL
ARID1A,ENST00000324856,ICGC_WXS_GBM_CN,GBM,cbase,3,3,0.038461538,5.96E-08,LoF,TRUE,FALSE,,,,0.895486188,0.996980427,0
ATRX,ENST00000373344,ICGC_WXS_GBM_CN,GBM,"dndscv,cbase,mutpanning",8,6,0.076923077,6.10E-06,LoF,TRUE,TRUE,,,,0.971631565,0.997715343,0.997715343
ATRX,ENST00000373344,TCGA_WXS_GBM,GBM,"cbase,mutpanning",29,28,0.071611253,4.80E-10,LoF,TRUE,TRUE,,,,0.751631806,0.90215845,0
ATRX,ENST00000373344,HARTWIG_NERVOUS_SYSTEM_GLIOBLASTOMA_MULTIFORME,GBM,"dndscv,cbase,mutpanning",4,4,0.063492063,5.63E-10,LoF,TRUE,TRUE,,,,0,0.987499875,0.987499875
AXIN1,ENST00000262320,TCGA_WXS_GBM,GBM,cbase,5,5,0.012787724,8.86E-05,LoF,TRUE,FALSE,,,,0.88245472,0.987144486,0
BCL11B,ENST00000357195,TCGA_WXS_GBM,GBM,cbase,5,4,0.010230179,0.000104772,Act,TRUE,FALSE,,,,0.881150859,0,0
BCOR,ENST00000378444,TCGA_WXS_GBM,GBM,combination,10,10,0.025575448,0.00119748,LoF,TRUE,FALSE,,,,0.501008527,0.941404135,0
BRAF,ENST00000646891,ICGC_WXS_GBM_CN,GBM,"oncodriveclustl,smregions",3,3,0.038461538,2.70E-08,Act,TRUE,FALSE,PF07714:458:712,600:600,,0.989218552,0,0
BRAF,ENST00000646891,TCGA_WXS_GBM,GBM,"hotmaps,smregions,mutpanning",7,7,0.017902813,4.55E-11,Act,TRUE,FALSE,PF07714:458:712,596:600,"596,600",0.853680537,0,0
CACNA1D,ENST00000288139,TCGA_WXS_GBM,GBM,combination,7,7,0.017902813,0.000819662,ambiguous,TRUE,FALSE,,,,0.907375836,0.94045892,0
CDKN2A,ENST00000498124,TCGA_WXS_GBM,GBM,oncodrivefml,2,2,0.00511509,6.64E-06,LoF,TRUE,TRUE,,,,0,0.996922017,0
COL1A1,ENST00000225964,ICGC_WXS_GBM_CN,GBM,combination,2,2,0.025641026,0.000611087,Act,TRUE,FALSE,,,,0.926107484,0.992628154,0
CUX1,ENST00000360264,HARTWIG_NERVOUS_SYSTEM_GLIOBLASTOMA_MULTIFORME,GBM,cbase,3,3,0.047619048,1.19E-05,ambiguous,TRUE,FALSE,,,,0.83269,0.974064786,0
DCAF12L2,ENST00000360028,TCGA_WXS_GBM,GBM,"dndscv,cbase",11,11,0.028132992,8.86E-05,Act,TRUE,FALSE,,,,0.977900199,0,0
EGFR,ENST00000275493,ICGC_WXS_GBM_CN,GBM,"dndscv,cbase,mutpanning",6,5,0.064102564,2.44E-10,Act,TRUE,TRUE,,,,0.990640782,0,0
EGFR,ENST00000275493,PCAWG_WGS_CNS_GBM,GBM,"dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning",22,17,0.435897436,5.02E-19,Act,TRUE,TRUE,PF00757:185:338,289:289,"108,289",0.991469021,0.986157051,0
EGFR,ENST00000275493,TCGA_WXS_GBM,GBM,"oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning",118,91,0.232736573,3.01E-25,Act,TRUE,TRUE,"PF00757:185:338,PF14843:505:636",289:289,"108,636,256,62,598,608,252,628,254,270,624,289,263,596,774",0.933475092,0,0
EGFR,ENST00000275493,HARTWIG_NERVOUS_SYSTEM_GLIOBLASTOMA_MULTIFORME,GBM,"dndscv,hotmaps,smregions,cbase,mutpanning",19,15,0.238095238,2.36E-35,Act,TRUE,TRUE,PF00757:185:338,289:289,"108,84,263,289",0.986683014,0,0
