MutationSymbol,MutationGeneID,RegulatorType,MutationRegulatorEdge,MutationRegulonEdge,SpearmanCorrelationTFAndEigenGene,RMST_diff_UnderActiveMinusOverActiveMGMTUnMeth,RMST_diff_UnderActiveMinusOverActiveMGMTMeth,Cox_HR_Training,IfCancerDriverMutation,IfDETFForTCGAGBM,IfCRISPR-Cas9SignificantTF,RNAiTFGeneEssentialityAchilles,Drug,DrugMechOfAction,Miner_Target_Type,DrugTrialPhaseGBM,Cancer_PhaseIV,DrugTargetAll,DrugRegulonAll,DrugRegulonOverActive,DrugRegulonUnderActive,DrugProgramAll,DrugProgramOverActive,DrugProgramUnderActive
ATRX,ENSG00000085224,miRNA,1,-7.287713237,-0.377067606,530.0752137,-131,3.525170683,yes,#N/A,#N/A,NA,CAFFEINE,Adenosine receptor antagonist,RegulonGene,#N/A,AntiCancerPhaseIV,"ADORA1,ADORA2B,ADORA3","0,4,23,24,115,290,402,416,436,480,519,652,2388","519,2388","0,4,23,24,115,290,402,436,480,652","2,16,91",91,"2,16"
GPR98,NA,TF,-1,-3.243824198,0.408372024,334.2444444,387.6666667,2.516789636,NA,yes,#N/A,-0.057585056,CAFFEINE,Adenosine receptor antagonist,RegulonGene,#N/A,AntiCancerPhaseIV,"ADORA1,ADORA2B,ADORA3","0,4,23,24,115,290,402,416,436,480,519,652,2388","519,2388","0,4,23,24,115,290,402,436,480,652","2,16,91",91,"2,16"
SEMA3C,ENSG00000075223,TF,-1,-4.31670568,0.408372024,334.2444444,387.6666667,2.516789636,NA,yes,#N/A,-0.057585056,CAFFEINE,Adenosine receptor antagonist,RegulonGene,#N/A,AntiCancerPhaseIV,"ADORA1,ADORA2B,ADORA3","0,4,23,24,115,290,402,416,436,480,519,652,2388","519,2388","0,4,23,24,115,290,402,436,480,652","2,16,91",91,"2,16"
TP53,ENSG00000141510,TF,-1,-6.650590276,0.408372024,334.2444444,387.6666667,2.516789636,yes,yes,#N/A,-0.057585056,CAFFEINE,Adenosine receptor antagonist,RegulonGene,#N/A,AntiCancerPhaseIV,"ADORA1,ADORA2B,ADORA3","0,4,23,24,115,290,402,416,436,480,519,652,2388","519,2388","0,4,23,24,115,290,402,436,480,652","2,16,91",91,"2,16"
GPR98,NA,TF,-1,-2.689790982,0.361032258,283.7193676,23.1,2.475822902,NA,#N/A,yes,-0.032298401,CAFFEINE,Adenosine receptor antagonist,RegulonGene,#N/A,AntiCancerPhaseIV,"ADORA1,ADORA2B,ADORA3","0,4,23,24,115,290,402,416,436,480,519,652,2388","519,2388","0,4,23,24,115,290,402,436,480,652","2,16,91",91,"2,16"
GPR98,NA,TF,-1,-2.689790982,0.361032258,283.7193676,23.1,2.475822902,NA,#N/A,yes,-0.032298401,PENTOXIFYLLINE,Adenosine A2 receptor antagonist,RegulonGene,Phase 1,#N/A,"ADORA2B,PDE4A","416,1178",NA,NA,"16,126",NA,16
IDH1,ENSG00000138413,TF,-1,-6.099677054,0.361032258,283.7193676,23.1,2.475822902,yes,#N/A,yes,-0.032298401,CAFFEINE,Adenosine receptor antagonist,RegulonGene,#N/A,AntiCancerPhaseIV,"ADORA1,ADORA2B,ADORA3","0,4,23,24,115,290,402,416,436,480,519,652,2388","519,2388","0,4,23,24,115,290,402,436,480,652","2,16,91",91,"2,16"
IDH1,ENSG00000138413,TF,-1,-6.099677054,0.361032258,283.7193676,23.1,2.475822902,yes,#N/A,yes,-0.032298401,PENTOXIFYLLINE,Adenosine A2 receptor antagonist,RegulonGene,Phase 1,#N/A,"ADORA2B,PDE4A","416,1178",NA,NA,"16,126",NA,16
MUC17,ENSG00000169876,TF,1,2.358603796,0.361032258,283.7193676,23.1,2.475822902,NA,#N/A,yes,-0.032298401,CAFFEINE,Adenosine receptor antagonist,RegulonGene,#N/A,AntiCancerPhaseIV,"ADORA1,ADORA2B,ADORA3","0,4,23,24,115,290,402,416,436,480,519,652,2388","519,2388","0,4,23,24,115,290,402,436,480,652","2,16,91",91,"2,16"
MUC17,ENSG00000169876,TF,1,2.358603796,0.361032258,283.7193676,23.1,2.475822902,NA,#N/A,yes,-0.032298401,PENTOXIFYLLINE,Adenosine A2 receptor antagonist,RegulonGene,Phase 1,#N/A,"ADORA2B,PDE4A","416,1178",NA,NA,"16,126",NA,16
NF1,ENSG00000196712,TF,1,4.46190652,0.361032258,283.7193676,23.1,2.475822902,yes,#N/A,yes,-0.032298401,CAFFEINE,Adenosine receptor antagonist,RegulonGene,#N/A,AntiCancerPhaseIV,"ADORA1,ADORA2B,ADORA3","0,4,23,24,115,290,402,416,436,480,519,652,2388","519,2388","0,4,23,24,115,290,402,436,480,652","2,16,91",91,"2,16"
NF1,ENSG00000196712,TF,1,4.46190652,0.361032258,283.7193676,23.1,2.475822902,yes,#N/A,yes,-0.032298401,PENTOXIFYLLINE,Adenosine A2 receptor antagonist,RegulonGene,Phase 1,#N/A,"ADORA2B,PDE4A","416,1178",NA,NA,"16,126",NA,16
AHNAK2,ENSG00000185567,TF,-1,-2.222454042,0.494010097,353.2533386,79.89384921,2.333677379,NA,yes,#N/A,0.04207445,CAFFEINE,Adenosine receptor antagonist,RegulonGene,#N/A,AntiCancerPhaseIV,"ADORA1,ADORA2B,ADORA3","0,4,23,24,115,290,402,416,436,480,519,652,2388","519,2388","0,4,23,24,115,290,402,436,480,652","2,16,91",91,"2,16"
AHNAK2,ENSG00000185567,TF,-1,-2.172241043,0.812814349,381.872549,79.6713352,2.470220159,NA,yes,#N/A,0.043239717,CAFFEINE,Adenosine receptor antagonist,RegulonGene,#N/A,AntiCancerPhaseIV,"ADORA1,ADORA2B,ADORA3","0,4,23,24,115,290,402,416,436,480,519,652,2388","519,2388","0,4,23,24,115,290,402,436,480,652","2,16,91",91,"2,16"
AHNAK2,ENSG00000185567,TF,-1,-2.172328804,0.704293335,342.0358974,37.64384921,2.286965386,NA,yes,#N/A,-0.068933334,CAFFEINE,Adenosine receptor antagonist,RegulonGene,#N/A,AntiCancerPhaseIV,"ADORA1,ADORA2B,ADORA3","0,4,23,24,115,290,402,416,436,480,519,652,2388","519,2388","0,4,23,24,115,290,402,436,480,652","2,16,91",91,"2,16"
ATRX,ENSG00000085224,TF,1,-2.592200444,-0.377760894,433.3660131,91.29747899,2.567828209,yes,yes,#N/A,0.083365205,CAFFEINE,Adenosine receptor antagonist,RegulonGene,#N/A,AntiCancerPhaseIV,"ADORA1,ADORA2B,ADORA3","0,4,23,24,115,290,402,416,436,480,519,652,2388","519,2388","0,4,23,24,115,290,402,436,480,652","2,16,91",91,"2,16"
ATRX,ENSG00000085224,TF,-1,-2.520929955,0.560775682,358.4192377,-29.88888889,2.45227828,yes,yes,#N/A,-0.017328457,CAFFEINE,Adenosine receptor antagonist,RegulonGene,#N/A,AntiCancerPhaseIV,"ADORA1,ADORA2B,ADORA3","0,4,23,24,115,290,402,416,436,480,519,652,2388","519,2388","0,4,23,24,115,290,402,436,480,652","2,16,91",91,"2,16"
ATRX,ENSG00000085224,TF,-1,-2.442122163,0.309729292,220.1824009,-44.80830281,2.322423627,yes,#N/A,#N/A,-0.335254042,CAFFEINE,Adenosine receptor antagonist,RegulonGene,#N/A,AntiCancerPhaseIV,"ADORA1,ADORA2B,ADORA3","0,4,23,24,115,290,402,416,436,480,519,652,2388","519,2388","0,4,23,24,115,290,402,436,480,652","2,16,91",91,"2,16"
ATRX,ENSG00000085224,TF,1,-2.375391584,-0.346779171,278.1590636,-76.36666667,2.376011197,yes,#N/A,yes,0.021106578,CAFFEINE,Adenosine receptor antagonist,RegulonGene,#N/A,AntiCancerPhaseIV,"ADORA1,ADORA2B,ADORA3","0,4,23,24,115,290,402,416,436,480,519,652,2388","519,2388","0,4,23,24,115,290,402,436,480,652","2,16,91",91,"2,16"
GPR98,NA,TF,-1,-2.225406804,0.616066312,356.0760684,-11.82608696,2.446933198,NA,#N/A,yes,-0.032298401,CAFFEINE,Adenosine receptor antagonist,RegulonGene,#N/A,AntiCancerPhaseIV,"ADORA1,ADORA2B,ADORA3","0,4,23,24,115,290,402,416,436,480,519,652,2388","519,2388","0,4,23,24,115,290,402,436,480,652","2,16,91",91,"2,16"
IDH1,ENSG00000138413,TF,1,-2.384368228,-0.377760894,433.3660131,91.29747899,2.567828209,yes,yes,#N/A,0.083365205,CAFFEINE,Adenosine receptor antagonist,RegulonGene,#N/A,AntiCancerPhaseIV,"ADORA1,ADORA2B,ADORA3","0,4,23,24,115,290,402,416,436,480,519,652,2388","519,2388","0,4,23,24,115,290,402,436,480,652","2,16,91",91,"2,16"
IDH1,ENSG00000138413,TF,1,-2.353939544,-0.333435561,318.3952703,-19.6031746,2.543790594,yes,#N/A,#N/A,0.117624951,CAFFEINE,Adenosine receptor antagonist,RegulonGene,#N/A,AntiCancerPhaseIV,"ADORA1,ADORA2B,ADORA3","0,4,23,24,115,290,402,416,436,480,519,652,2388","519,2388","0,4,23,24,115,290,402,436,480,652","2,16,91",91,"2,16"
IDH1,ENSG00000138413,TF,-1,-2.744662685,0.309729292,220.1824009,-44.80830281,2.322423627,yes,#N/A,#N/A,-0.335254042,CAFFEINE,Adenosine receptor antagonist,RegulonGene,#N/A,AntiCancerPhaseIV,"ADORA1,ADORA2B,ADORA3","0,4,23,24,115,290,402,416,436,480,519,652,2388","519,2388","0,4,23,24,115,290,402,436,480,652","2,16,91",91,"2,16"
IDH1,ENSG00000138413,TF,1,-2.522357519,-0.346779171,278.1590636,-76.36666667,2.376011197,yes,#N/A,yes,0.021106578,CAFFEINE,Adenosine receptor antagonist,RegulonGene,#N/A,AntiCancerPhaseIV,"ADORA1,ADORA2B,ADORA3","0,4,23,24,115,290,402,416,436,480,519,652,2388","519,2388","0,4,23,24,115,290,402,436,480,652","2,16,91",91,"2,16"
MUC17,ENSG00000169876,TF,1,2.943336999,0.812814349,381.872549,79.6713352,2.470220159,NA,yes,#N/A,0.043239717,CAFFEINE,Adenosine receptor antagonist,RegulonGene,#N/A,AntiCancerPhaseIV,"ADORA1,ADORA2B,ADORA3","0,4,23,24,115,290,402,416,436,480,519,652,2388","519,2388","0,4,23,24,115,290,402,436,480,652","2,16,91",91,"2,16"
MUC17,ENSG00000169876,TF,1,2.947923378,0.704293335,342.0358974,37.64384921,2.286965386,NA,yes,#N/A,-0.068933334,CAFFEINE,Adenosine receptor antagonist,RegulonGene,#N/A,AntiCancerPhaseIV,"ADORA1,ADORA2B,ADORA3","0,4,23,24,115,290,402,416,436,480,519,652,2388","519,2388","0,4,23,24,115,290,402,436,480,652","2,16,91",91,"2,16"
MUC17,ENSG00000169876,TF,1,2.83206644,0.616066312,356.0760684,-11.82608696,2.446933198,NA,#N/A,yes,-0.032298401,CAFFEINE,Adenosine receptor antagonist,RegulonGene,#N/A,AntiCancerPhaseIV,"ADORA1,ADORA2B,ADORA3","0,4,23,24,115,290,402,416,436,480,519,652,2388","519,2388","0,4,23,24,115,290,402,436,480,652","2,16,91",91,"2,16"
MUC17,ENSG00000169876,TF,1,2.993138216,0.560775682,358.4192377,-29.88888889,2.45227828,NA,yes,#N/A,-0.017328457,CAFFEINE,Adenosine receptor antagonist,RegulonGene,#N/A,AntiCancerPhaseIV,"ADORA1,ADORA2B,ADORA3","0,4,23,24,115,290,402,416,436,480,519,652,2388","519,2388","0,4,23,24,115,290,402,436,480,652","2,16,91",91,"2,16"
NF1,ENSG00000196712,TF,1,2.450562045,0.494010097,353.2533386,79.89384921,2.333677379,yes,yes,#N/A,0.04207445,CAFFEINE,Adenosine receptor antagonist,RegulonGene,#N/A,AntiCancerPhaseIV,"ADORA1,ADORA2B,ADORA3","0,4,23,24,115,290,402,416,436,480,519,652,2388","519,2388","0,4,23,24,115,290,402,436,480,652","2,16,91",91,"2,16"
NF1,ENSG00000196712,TF,1,2.425771725,0.812814349,381.872549,79.6713352,2.470220159,yes,yes,#N/A,0.043239717,CAFFEINE,Adenosine receptor antagonist,RegulonGene,#N/A,AntiCancerPhaseIV,"ADORA1,ADORA2B,ADORA3","0,4,23,24,115,290,402,416,436,480,519,652,2388","519,2388","0,4,23,24,115,290,402,436,480,652","2,16,91",91,"2,16"
NF1,ENSG00000196712,TF,1,2.4043706989999998,0.704293335,342.0358974,37.64384921,2.286965386,yes,yes,#N/A,-0.068933334,CAFFEINE,Adenosine receptor antagonist,RegulonGene,#N/A,AntiCancerPhaseIV,"ADORA1,ADORA2B,ADORA3","0,4,23,24,115,290,402,416,436,480,519,652,2388","519,2388","0,4,23,24,115,290,402,436,480,652","2,16,91",91,"2,16"
NF1,ENSG00000196712,TF,1,2.489584188,0.616066312,356.0760684,-11.82608696,2.446933198,yes,#N/A,yes,-0.032298401,CAFFEINE,Adenosine receptor antagonist,RegulonGene,#N/A,AntiCancerPhaseIV,"ADORA1,ADORA2B,ADORA3","0,4,23,24,115,290,402,416,436,480,519,652,2388","519,2388","0,4,23,24,115,290,402,436,480,652","2,16,91",91,"2,16"
NF1,ENSG00000196712,TF,1,2.736500385,0.560775682,358.4192377,-29.88888889,2.45227828,yes,yes,#N/A,-0.017328457,CAFFEINE,Adenosine receptor antagonist,RegulonGene,#N/A,AntiCancerPhaseIV,"ADORA1,ADORA2B,ADORA3","0,4,23,24,115,290,402,416,436,480,519,652,2388","519,2388","0,4,23,24,115,290,402,436,480,652","2,16,91",91,"2,16"
NF1,ENSG00000196712,TF,-1,2.492709698,-0.346779171,278.1590636,-76.36666667,2.376011197,yes,#N/A,yes,0.021106578,CAFFEINE,Adenosine receptor antagonist,RegulonGene,#N/A,AntiCancerPhaseIV,"ADORA1,ADORA2B,ADORA3","0,4,23,24,115,290,402,416,436,480,519,652,2388","519,2388","0,4,23,24,115,290,402,436,480,652","2,16,91",91,"2,16"
TP53,ENSG00000141510,TF,-1,-2.421952479,0.43852254,425.1428571,118.6296296,2.255335743,yes,#N/A,#N/A,0.080033004,CAFFEINE,Adenosine receptor antagonist,RegulonGene,#N/A,AntiCancerPhaseIV,"ADORA1,ADORA2B,ADORA3","0,4,23,24,115,290,402,416,436,480,519,652,2388","519,2388","0,4,23,24,115,290,402,436,480,652","2,16,91",91,"2,16"
TP53,ENSG00000141510,TF,-1,-2.5274087,0.812814349,381.872549,79.6713352,2.470220159,yes,yes,#N/A,0.043239717,CAFFEINE,Adenosine receptor antagonist,RegulonGene,#N/A,AntiCancerPhaseIV,"ADORA1,ADORA2B,ADORA3","0,4,23,24,115,290,402,416,436,480,519,652,2388","519,2388","0,4,23,24,115,290,402,436,480,652","2,16,91",91,"2,16"
TP53,ENSG00000141510,TF,-1,-2.51682908,0.704293335,342.0358974,37.64384921,2.286965386,yes,yes,#N/A,-0.068933334,CAFFEINE,Adenosine receptor antagonist,RegulonGene,#N/A,AntiCancerPhaseIV,"ADORA1,ADORA2B,ADORA3","0,4,23,24,115,290,402,416,436,480,519,652,2388","519,2388","0,4,23,24,115,290,402,436,480,652","2,16,91",91,"2,16"
TP53,ENSG00000141510,TF,1,-2.338541186,-0.333435561,318.3952703,-19.6031746,2.543790594,yes,#N/A,#N/A,0.117624951,CAFFEINE,Adenosine receptor antagonist,RegulonGene,#N/A,AntiCancerPhaseIV,"ADORA1,ADORA2B,ADORA3","0,4,23,24,115,290,402,416,436,480,519,652,2388","519,2388","0,4,23,24,115,290,402,436,480,652","2,16,91",91,"2,16"
TP53,ENSG00000141510,TF,-1,-2.610546847,0.560775682,358.4192377,-29.88888889,2.45227828,yes,yes,#N/A,-0.017328457,CAFFEINE,Adenosine receptor antagonist,RegulonGene,#N/A,AntiCancerPhaseIV,"ADORA1,ADORA2B,ADORA3","0,4,23,24,115,290,402,416,436,480,519,652,2388","519,2388","0,4,23,24,115,290,402,436,480,652","2,16,91",91,"2,16"
TP53,ENSG00000141510,TF,-1,-2.80744841,0.309729292,220.1824009,-44.80830281,2.322423627,yes,#N/A,#N/A,-0.335254042,CAFFEINE,Adenosine receptor antagonist,RegulonGene,#N/A,AntiCancerPhaseIV,"ADORA1,ADORA2B,ADORA3","0,4,23,24,115,290,402,416,436,480,519,652,2388","519,2388","0,4,23,24,115,290,402,436,480,652","2,16,91",91,"2,16"
TP53,ENSG00000141510,TF,1,-2.706090372,-0.346779171,278.1590636,-76.36666667,2.376011197,yes,#N/A,yes,0.021106578,CAFFEINE,Adenosine receptor antagonist,RegulonGene,#N/A,AntiCancerPhaseIV,"ADORA1,ADORA2B,ADORA3","0,4,23,24,115,290,402,416,436,480,519,652,2388","519,2388","0,4,23,24,115,290,402,436,480,652","2,16,91",91,"2,16"
AHNAK2,ENSG00000185567,TF,1,-2.213351702,-0.35575208,332.8600668,98.45416667,2.534978112,NA,yes,#N/A,-0.076876257,DOBUTAMINE,Beta-2 adrenergic receptor agonist,RegulonGene,#N/A,AntiCancerPhaseIV,ADRB2,"34,59,98,154,290,378,402,457,480,536,549,700,787",NA,"34,59,98,154,290,378,402,457,480,536,549,700,787",2,NA,2
AHNAK2,ENSG00000185567,TF,1,-2.213351702,-0.35575208,332.8600668,98.45416667,2.534978112,NA,yes,#N/A,-0.076876257,EPHEDRINE,Adrenergic receptor agonist,RegulonGene,#N/A,AntiCancerPhaseIV,ADRB2,"34,59,98,154,290,378,402,457,480,536,549,700,787",NA,"34,59,98,154,290,378,402,457,480,536,549,700,787",2,NA,2
AHNAK2,ENSG00000185567,TF,1,-2.213351702,-0.35575208,332.8600668,98.45416667,2.534978112,NA,yes,#N/A,-0.076876257,EPINEPHRINE,Adrenergic receptor agonist,RegulonGene,#N/A,AntiCancerPhaseIV,ADRB2,"34,59,98,154,290,378,402,457,480,536,549,700,787",NA,"34,59,98,154,290,378,402,457,480,536,549,700,787",2,NA,2
AHNAK2,ENSG00000185567,TF,1,-2.213351702,-0.35575208,332.8600668,98.45416667,2.534978112,NA,yes,#N/A,-0.076876257,NOREPINEPHRINE,Adrenergic receptor agonist,RegulonGene,#N/A,AntiCancerPhaseIV,ADRB2,"34,59,98,154,290,378,402,457,480,536,549,700,787",NA,"34,59,98,154,290,378,402,457,480,536,549,700,787",2,NA,2
AHNAK2,ENSG00000185567,TF,1,-2.213351702,-0.35575208,332.8600668,98.45416667,2.534978112,NA,yes,#N/A,-0.076876257,PROPRANOLOL,Beta-2 adrenergic receptor antagonist,RegulonGene,#N/A,AntiCancerPhaseIV,ADRB2,"34,59,98,154,290,378,402,457,480,536,549,700,787",NA,"34,59,98,154,290,378,402,457,480,536,549,700,787",2,NA,2
AHNAK2,ENSG00000185567,TF,-1,-2.222454042,0.494010097,353.2533386,79.89384921,2.333677379,NA,yes,#N/A,0.04207445,DOBUTAMINE,Beta-2 adrenergic receptor agonist,RegulonGene,#N/A,AntiCancerPhaseIV,ADRB2,"34,59,98,154,290,378,402,457,480,536,549,700,787",NA,"34,59,98,154,290,378,402,457,480,536,549,700,787",2,NA,2
AHNAK2,ENSG00000185567,TF,-1,-2.222454042,0.494010097,353.2533386,79.89384921,2.333677379,NA,yes,#N/A,0.04207445,EPHEDRINE,Adrenergic receptor agonist,RegulonGene,#N/A,AntiCancerPhaseIV,ADRB2,"34,59,98,154,290,378,402,457,480,536,549,700,787",NA,"34,59,98,154,290,378,402,457,480,536,549,700,787",2,NA,2
AHNAK2,ENSG00000185567,TF,-1,-2.222454042,0.494010097,353.2533386,79.89384921,2.333677379,NA,yes,#N/A,0.04207445,EPINEPHRINE,Adrenergic receptor agonist,RegulonGene,#N/A,AntiCancerPhaseIV,ADRB2,"34,59,98,154,290,378,402,457,480,536,549,700,787",NA,"34,59,98,154,290,378,402,457,480,536,549,700,787",2,NA,2
AHNAK2,ENSG00000185567,TF,-1,-2.222454042,0.494010097,353.2533386,79.89384921,2.333677379,NA,yes,#N/A,0.04207445,NOREPINEPHRINE,Adrenergic receptor agonist,RegulonGene,#N/A,AntiCancerPhaseIV,ADRB2,"34,59,98,154,290,378,402,457,480,536,549,700,787",NA,"34,59,98,154,290,378,402,457,480,536,549,700,787",2,NA,2
AHNAK2,ENSG00000185567,TF,-1,-2.222454042,0.494010097,353.2533386,79.89384921,2.333677379,NA,yes,#N/A,0.04207445,PROPRANOLOL,Beta-2 adrenergic receptor antagonist,RegulonGene,#N/A,AntiCancerPhaseIV,ADRB2,"34,59,98,154,290,378,402,457,480,536,549,700,787",NA,"34,59,98,154,290,378,402,457,480,536,549,700,787",2,NA,2
AHNAK2,ENSG00000185567,TF,-1,-2.224624352,0.530384164,336.4917719,79.89384921,2.422939142,NA,#N/A,#N/A,-0.082248802,DOBUTAMINE,Beta-2 adrenergic receptor agonist,RegulonGene,#N/A,AntiCancerPhaseIV,ADRB2,"34,59,98,154,290,378,402,457,480,536,549,700,787",NA,"34,59,98,154,290,378,402,457,480,536,549,700,787",2,NA,2
AHNAK2,ENSG00000185567,TF,-1,-2.224624352,0.530384164,336.4917719,79.89384921,2.422939142,NA,#N/A,#N/A,-0.082248802,EPHEDRINE,Adrenergic receptor agonist,RegulonGene,#N/A,AntiCancerPhaseIV,ADRB2,"34,59,98,154,290,378,402,457,480,536,549,700,787",NA,"34,59,98,154,290,378,402,457,480,536,549,700,787",2,NA,2
AHNAK2,ENSG00000185567,TF,-1,-2.224624352,0.530384164,336.4917719,79.89384921,2.422939142,NA,#N/A,#N/A,-0.082248802,EPINEPHRINE,Adrenergic receptor agonist,RegulonGene,#N/A,AntiCancerPhaseIV,ADRB2,"34,59,98,154,290,378,402,457,480,536,549,700,787",NA,"34,59,98,154,290,378,402,457,480,536,549,700,787",2,NA,2
AHNAK2,ENSG00000185567,TF,-1,-2.224624352,0.530384164,336.4917719,79.89384921,2.422939142,NA,#N/A,#N/A,-0.082248802,NOREPINEPHRINE,Adrenergic receptor agonist,RegulonGene,#N/A,AntiCancerPhaseIV,ADRB2,"34,59,98,154,290,378,402,457,480,536,549,700,787",NA,"34,59,98,154,290,378,402,457,480,536,549,700,787",2,NA,2
AHNAK2,ENSG00000185567,TF,-1,-2.224624352,0.530384164,336.4917719,79.89384921,2.422939142,NA,#N/A,#N/A,-0.082248802,PROPRANOLOL,Beta-2 adrenergic receptor antagonist,RegulonGene,#N/A,AntiCancerPhaseIV,ADRB2,"34,59,98,154,290,378,402,457,480,536,549,700,787",NA,"34,59,98,154,290,378,402,457,480,536,549,700,787",2,NA,2
AHNAK2,ENSG00000185567,TF,-1,-2.172328804,0.704293335,342.0358974,37.64384921,2.286965386,NA,yes,#N/A,-0.068933334,DOBUTAMINE,Beta-2 adrenergic receptor agonist,RegulonGene,#N/A,AntiCancerPhaseIV,ADRB2,"34,59,98,154,290,378,402,457,480,536,549,700,787",NA,"34,59,98,154,290,378,402,457,480,536,549,700,787",2,NA,2
AHNAK2,ENSG00000185567,TF,-1,-2.172328804,0.704293335,342.0358974,37.64384921,2.286965386,NA,yes,#N/A,-0.068933334,EPHEDRINE,Adrenergic receptor agonist,RegulonGene,#N/A,AntiCancerPhaseIV,ADRB2,"34,59,98,154,290,378,402,457,480,536,549,700,787",NA,"34,59,98,154,290,378,402,457,480,536,549,700,787",2,NA,2
AHNAK2,ENSG00000185567,TF,-1,-2.172328804,0.704293335,342.0358974,37.64384921,2.286965386,NA,yes,#N/A,-0.068933334,EPINEPHRINE,Adrenergic receptor agonist,RegulonGene,#N/A,AntiCancerPhaseIV,ADRB2,"34,59,98,154,290,378,402,457,480,536,549,700,787",NA,"34,59,98,154,290,378,402,457,480,536,549,700,787",2,NA,2
AHNAK2,ENSG00000185567,TF,-1,-2.172328804,0.704293335,342.0358974,37.64384921,2.286965386,NA,yes,#N/A,-0.068933334,NOREPINEPHRINE,Adrenergic receptor agonist,RegulonGene,#N/A,AntiCancerPhaseIV,ADRB2,"34,59,98,154,290,378,402,457,480,536,549,700,787",NA,"34,59,98,154,290,378,402,457,480,536,549,700,787",2,NA,2
AHNAK2,ENSG00000185567,TF,-1,-2.172328804,0.704293335,342.0358974,37.64384921,2.286965386,NA,yes,#N/A,-0.068933334,PROPRANOLOL,Beta-2 adrenergic receptor antagonist,RegulonGene,#N/A,AntiCancerPhaseIV,ADRB2,"34,59,98,154,290,378,402,457,480,536,549,700,787",NA,"34,59,98,154,290,378,402,457,480,536,549,700,787",2,NA,2
AHNAK2,ENSG00000185567,TF,-1,-2.196328664,0.732438516,353.0517024,-4.406926407,2.36389902,NA,#N/A,#N/A,-0.045695074,DOBUTAMINE,Beta-2 adrenergic receptor agonist,RegulonGene,#N/A,AntiCancerPhaseIV,ADRB2,"34,59,98,154,290,378,402,457,480,536,549,700,787",NA,"34,59,98,154,290,378,402,457,480,536,549,700,787",2,NA,2
AHNAK2,ENSG00000185567,TF,-1,-2.196328664,0.732438516,353.0517024,-4.406926407,2.36389902,NA,#N/A,#N/A,-0.045695074,EPHEDRINE,Adrenergic receptor agonist,RegulonGene,#N/A,AntiCancerPhaseIV,ADRB2,"34,59,98,154,290,378,402,457,480,536,549,700,787",NA,"34,59,98,154,290,378,402,457,480,536,549,700,787",2,NA,2
AHNAK2,ENSG00000185567,TF,-1,-2.196328664,0.732438516,353.0517024,-4.406926407,2.36389902,NA,#N/A,#N/A,-0.045695074,EPINEPHRINE,Adrenergic receptor agonist,RegulonGene,#N/A,AntiCancerPhaseIV,ADRB2,"34,59,98,154,290,378,402,457,480,536,549,700,787",NA,"34,59,98,154,290,378,402,457,480,536,549,700,787",2,NA,2
AHNAK2,ENSG00000185567,TF,-1,-2.196328664,0.732438516,353.0517024,-4.406926407,2.36389902,NA,#N/A,#N/A,-0.045695074,NOREPINEPHRINE,Adrenergic receptor agonist,RegulonGene,#N/A,AntiCancerPhaseIV,ADRB2,"34,59,98,154,290,378,402,457,480,536,549,700,787",NA,"34,59,98,154,290,378,402,457,480,536,549,700,787",2,NA,2
AHNAK2,ENSG00000185567,TF,-1,-2.196328664,0.732438516,353.0517024,-4.406926407,2.36389902,NA,#N/A,#N/A,-0.045695074,PROPRANOLOL,Beta-2 adrenergic receptor antagonist,RegulonGene,#N/A,AntiCancerPhaseIV,ADRB2,"34,59,98,154,290,378,402,457,480,536,549,700,787",NA,"34,59,98,154,290,378,402,457,480,536,549,700,787",2,NA,2
AHNAK2,ENSG00000185567,TF,-1,-2.191501875,0.626308901,336.0028045,-6.347826087,2.539916778,NA,#N/A,#N/A,-0.116063008,DOBUTAMINE,Beta-2 adrenergic receptor agonist,RegulonGene,#N/A,AntiCancerPhaseIV,ADRB2,"34,59,98,154,290,378,402,457,480,536,549,700,787",NA,"34,59,98,154,290,378,402,457,480,536,549,700,787",2,NA,2
