PCA_1VarRembrandtWithinCoherentMembers,PCA_1RandomPValRembrandtWithinCoherentMembers,PCA_1RandomPValNonMemberRembrandtWithinCoherentMembers,PCA_1VarFrenchWithinCoherentMembers,PCA_1RandomPValFrenchWithinCoherentMembers,PCA_1RandomPValNonMemberFrenchWithinCoherentMembers,PCA_1VarIvyAtlasWithinCoherentMembers,PCA_1RandomPValIvyAtlasWithinCoherentMembers,PCA_1RandomPValNonMemberIvyAtlasWithinCoherentMembers,PCA_1VarGSE7696WithinCoherentMembers,PCA_1RandomPValGSE7696WithinCoherentMembers,PCA_1RandomPValNonMemberGSE7696WithinCoherentMembers,PCA_1VarTrainingWithinCoherentMembers,PCA_1RandomPValTrainingWithinCoherentMembers,PCA_1RandomPValNonMemberTrainingWithinCoherentMembers,Mutation,MutationType,RegulatorType,MutationReg_pvalWithinCoherentMembers,MutationEigenGene_pvalWithinCoherentMembers,MutationEigenGene_tstatWithinCoherentMembers,Fraction_of_edges_correctly_aligned,MutationReg_Pval_allPatients,MutationEigenGenePValAllPatients,Cox-HRFrench,Cox-p-valueFrench,Cox-HRGSE7696,Cox-p-valueGSE7696,Cox-HRRembrandt,Cox-p-valueRembrandt,Cox_HR_Training,Cox-p-value-training,SelfSufficiencyInGrowthSignals,InsensitivityToAntigrowthSignals,EvadingApoptosis,LimitlessReplicativePotential,SustainedAngiogenesis,TissueInvasionAndMetastasis,GenomeInstabilityAndMutation,TumorPromotingInflammation,ReprogrammingEnergyMetabolism,EvadingImmuneDetection,MutationRegulatorEdge,RegulonType,SpearmanCorrelationEigenGeneWithinCoherentMembers,SpearmanCorrelationPValEigenGeneWithinCoherentMembers,MutationEigenGene_tstat_allPatients,MutationSymbol,Regulator,RegulatorSymbol,Regulon_ID,MutationGeneID,RNAiTFGeneEssentialityAchilles,RMST_diff_InActiveOrDownRegMinusActiveMGMTUnMeth
0.774781226,0.001996008,0.001996008,0.822338773,0.001996008,0.001996008,0.701055129,0.001996008,0.001996008,0.83148013,0.001996008,0.001996008,0.773333375,0.001996008,0.001996008,IDH1_code_potential_somatic,SomaticGeneMain,TF,0.998993109,0.373096229,-1.023377233,0.642857143,0.005039381,0.039006725,-7.015372667,2.29E-12,-2.243045878,0.024893856,-1.342643374,0.179387479,-2.642618816,0.00822676,,,,,,,,,,,1,SignificantCoxHR,0.399929905,2.78E-10,2.273749004,IDH1,ENSG00000100811,YY1,1199,ENSG00000138413,-0.486848301,-112.3822963
0.721877366,0.001996008,0.001996008,0.599038585,0.001996008,0.001996008,0.68598709,0.001996008,0.001996008,0.726342366,0.001996008,0.001996008,0.702400462,0.001996008,0.001996008,IDH1_code_potential_somatic,SomaticGeneMain,TF,0.470352769,0.048223208,2.625400994,0.642857143,0.005039381,0.002549107,-0.104744827,0.916578291,-0.600562508,0.548131416,2.55744515,0.010544419,-1.996491402,0.045880461,,,,,,,,,,,1,SignificantCoxHR,0.634234522,1.16E-22,3.647075893,IDH1,ENSG00000100811,YY1,1204,ENSG00000138413,-0.486848301,-286.0609023
0.721877366,0.001996008,0.001996008,0.599038585,0.001996008,0.001996008,0.68598709,0.001996008,0.001996008,0.726342366,0.001996008,0.001996008,0.702400462,0.001996008,0.001996008,TP53_code_potential_somatic,SomaticGeneMain,TF,0.628416015,0.533394129,0.62732412,0.5,0.000147173,1.30E-07,-0.104744827,0.916578291,-0.600562508,0.548131416,2.55744515,0.010544419,-1.996491402,0.045880461,,,,,,,,,,,1,SignificantCoxHR,0.634234522,1.16E-22,5.547247408,TP53,ENSG00000100811,YY1,1204,ENSG00000141510,-0.486848301,-286.0609023
0.721877366,0.001996008,0.001996008,0.599038585,0.001996008,0.001996008,0.68598709,0.001996008,0.001996008,0.726342366,0.001996008,0.001996008,0.702400462,0.001996008,0.001996008,CNTNAP2_code_potential_somatic,SomaticGeneMain,TF,0.286239422,0.03387181,2.930309896,1,0.041557101,0.027332186,-0.104744827,0.916578291,-0.600562508,0.548131416,2.55744515,0.010544419,-1.996491402,0.045880461,,,,,,,,,,,1,SignificantCoxHR,0.634234522,1.16E-22,2.603338512,CNTNAP2,ENSG00000100811,YY1,1204,ENSG00000278728,-0.486848301,-286.0609023
0.649726116,0.001996008,0.001996008,0.710505933,0.001996008,0.001996008,0.631732422,0.001996008,0.001996008,0.669460157,0.001996008,0.001996008,0.722263983,0.001996008,0.001996008,SIGNALING_EVENTS_MEDIATED_BY_THE_HEDGEHOG_FAMILY,SomaticPathway,TF,0.032063153,0.066700953,1.918463566,1,0.028298942,0.010293268,4.92053296,8.63E-07,-0.639469607,0.522517479,6.313552706,2.73E-10,1.972842159,0.048513548,,,,,,,,,,,1,SignificantCoxHR,0.317855334,3.50E-08,2.662996916,SIGNALING,ENSG00000005889,ZFX,1054,#N/A,-0.383632954,48.02454502
0.897003994,0.001996008,0.001996008,0.763714057,0.001996008,0.001996008,0.672175126,0.001996008,0.001996008,0.87096922,0.001996008,0.001996008,0.696753136,0.001996008,0.001996008,ZNF99_code_potential_somatic,SomaticGeneMain,TF,0.787144753,0.186310113,2.039132504,1,0.01134338,0.001070409,7.943083189,1.97E-15,1.209564031,0.226446227,7.271888456,3.54E-13,4.336389159,1.45E-05,,,,,,,,,,,-1,SignificantCoxHR,0.319404947,5.40E-05,-6.384933222,ZNF99,ENSG00000136997,MYC,2185,ENSG00000213973,-0.381105513,297.0600758
0.896948807,0.001996008,0.001996008,0.932829042,0.001996008,0.001996008,0.710813476,0.001996008,0.001996008,0.903403201,0.001996008,0.001996008,0.73123167,0.001996008,0.001996008,IDH1_code_potential_somatic,SomaticGeneMain,TF,0.062136285,0.767810426,-0.320878494,0.75,0.000304111,0.000169013,5.877340401,4.17E-09,0.29692242,0.766525739,5.251733507,1.51E-07,2.644021501,0.008192745,,,,,,,,,,,1,SignificantCoxHR,-0.31610895,2.27E-05,-4.959813958,IDH1,ENSG00000168066,SF1,2992,ENSG00000138413,-0.369036204,275.1192753
0.896948807,0.001996008,0.001996008,0.932829042,0.001996008,0.001996008,0.710813476,0.001996008,0.001996008,0.903403201,0.001996008,0.001996008,0.73123167,0.001996008,0.001996008,TP53_code_potential_somatic,SomaticGeneMain,TF,0.254370031,0.777194418,0.284996985,0.666666667,0.000922321,0.000693242,5.877340401,4.17E-09,0.29692242,0.766525739,5.251733507,1.51E-07,2.644021501,0.008192745,,,,,,,,,,,1,SignificantCoxHR,-0.31610895,2.27E-05,-3.484542727,TP53,ENSG00000168066,SF1,2992,ENSG00000141510,-0.369036204,275.1192753
0.622586519,0.001996008,0.001996008,0.643421074,0.001996008,0.001996008,0.550908533,0.001996008,0.001996008,0.599510638,0.001996008,0.001996008,0.567828035,0.001996008,0.001996008,IDH1_code_potential_somatic,SomaticGeneMain,TF,0.302866578,0.175095751,-1.47439944,1,0.00010173,0.014945953,,,-0.679979992,0.49651713,,,2.322423627,0.020210136,0,0,0,0,1,1,0,0,0,0,-1,SignificantCoxHRAndCancerHallmarkAssociation,0.309729292,4.28E-10,-2.744662685,IDH1,ENSG00000150281,CTF1,23,ENSG00000138413,-0.335254042,131.9847762
0.622586519,0.001996008,0.001996008,0.643421074,0.001996008,0.001996008,0.550908533,0.001996008,0.001996008,0.599510638,0.001996008,0.001996008,0.567828035,0.001996008,0.001996008,ATRX_code_potential_somatic,SomaticGene,TF,0.000578982,0.025318029,-2.873328007,1,0.000146381,0.027326068,,,-0.679979992,0.49651713,,,2.322423627,0.020210136,0,0,0,0,1,1,0,0,0,0,-1,SignificantCoxHRAndCancerHallmarkAssociation,0.309729292,4.28E-10,-2.442122163,ATRX,ENSG00000150281,CTF1,23,ENSG00000085224,-0.335254042,131.9847762
0.622586519,0.001996008,0.001996008,0.643421074,0.001996008,0.001996008,0.550908533,0.001996008,0.001996008,0.599510638,0.001996008,0.001996008,0.567828035,0.001996008,0.001996008,TP53_code_potential_somatic,SomaticGeneMain,TF,0.657401012,0.637982476,-0.472124758,1,0.002429408,0.0057558,,,-0.679979992,0.49651713,,,2.322423627,0.020210136,0,0,0,0,1,1,0,0,0,0,-1,SignificantCoxHRAndCancerHallmarkAssociation,0.309729292,4.28E-10,-2.80744841,TP53,ENSG00000150281,CTF1,23,ENSG00000141510,-0.335254042,131.9847762
0.870467716,0.001996008,0.001996008,0.905900238,0.001996008,0.001996008,0.827141874,0.001996008,0.001996008,0.847583221,0.001996008,0.001996008,0.905147049,0.001996008,0.001996008,ATRX_code_potential_somatic,SomaticGene,TF,0.055040488,0.049665518,-2.314042543,1,0.002429916,0.048983984,5.09119554,3.56E-07,-1.205567918,0.227984135,3.928201344,8.56E-05,2.632952495,0.008464619,,,,,,,,,,,-1,SignificantCoxHR,0.318523699,1.02E-09,-2.143042889,ATRX,ENSG00000185022,MAFF,3422,ENSG00000085224,-0.316586113,258.4243557
0.870467716,0.001996008,0.001996008,0.905900238,0.001996008,0.001996008,0.827141874,0.001996008,0.001996008,0.847583221,0.001996008,0.001996008,0.905147049,0.001996008,0.001996008,TP53_code_potential_somatic,SomaticGeneMain,TF,0.483780382,0.801961087,-0.25164449,1,0.008514409,0.007962502,5.09119554,3.56E-07,-1.205567918,0.227984135,3.928201344,8.56E-05,2.632952495,0.008464619,,,,,,,,,,,-1,SignificantCoxHR,0.318523699,1.02E-09,-2.700176225,TP53,ENSG00000185022,MAFF,3422,ENSG00000141510,-0.316586113,258.4243557
0.935516807,0.001996008,0.001996008,0.920472837,0.001996008,0.001996008,0.926846915,0.001996008,0.001996008,0.900237958,0.001996008,0.001996008,0.718086005,0.001996008,0.001996008,IDH1_code_potential_somatic,SomaticGeneMain,TF,0.548537414,0.716044718,-0.387518523,1,0.000170761,0.000935966,6.334453465,2.38E-10,0.925674478,0.354615175,5.453959765,4.93E-08,2.224198914,0.026135064,,,,,,,,,,,-1,SignificantCoxHR,0.556426034,8.13E-18,-4.106758238,IDH1,ENSG00000185022,MAFF,3421,ENSG00000138413,-0.316586113,179.0409524
0.935516807,0.001996008,0.001996008,0.920472837,0.001996008,0.001996008,0.926846915,0.001996008,0.001996008,0.900237958,0.001996008,0.001996008,0.718086005,0.001996008,0.001996008,ATRX_code_potential_somatic,SomaticGene,TF,0.140626286,0.001245283,-4.523186438,1,0.002429916,6.80E-05,6.334453465,2.38E-10,0.925674478,0.354615175,5.453959765,4.93E-08,2.224198914,0.026135064,,,,,,,,,,,-1,SignificantCoxHR,0.556426034,8.13E-18,-5.342527193,ATRX,ENSG00000185022,MAFF,3421,ENSG00000085224,-0.316586113,179.0409524
0.935516807,0.001996008,0.001996008,0.920472837,0.001996008,0.001996008,0.926846915,0.001996008,0.001996008,0.900237958,0.001996008,0.001996008,0.718086005,0.001996008,0.001996008,TP53_code_potential_somatic,SomaticGeneMain,TF,0.514574696,0.120120408,1.583419263,1,0.008514409,0.000232287,6.334453465,2.38E-10,0.925674478,0.354615175,5.453959765,4.93E-08,2.224198914,0.026135064,,,,,,,,,,,-1,SignificantCoxHR,0.556426034,8.13E-18,-3.789913482,TP53,ENSG00000185022,MAFF,3421,ENSG00000141510,-0.316586113,179.0409524
0.702982699,0.001996008,0.001996008,0.718455549,0.001996008,0.001996008,0.767867694,0.001996008,0.001996008,0.703631982,0.001996008,0.001996008,0.715813442,0.001996008,0.001996008,IDH1_code_potential_somatic,SomaticGeneMain,TF,0.309948684,0.177168121,-1.517055556,1,0.000165377,7.80E-07,7.411547034,1.25E-13,0.300912339,0.763481341,6.671092677,2.54E-11,3.222534845,0.001270617,,,,,,,,,,,1,SignificantCoxHR,-0.568116264,1.93E-26,-7.915110931,IDH1,ENSG00000118922,KLF12,3267,ENSG00000138413,-0.288949757,116.4831538
0.702982699,0.001996008,0.001996008,0.718455549,0.001996008,0.001996008,0.767867694,0.001996008,0.001996008,0.703631982,0.001996008,0.001996008,0.715813442,0.001996008,0.001996008,ATRX_code_potential_somatic,SomaticGene,TF,0.000368506,7.67E-07,-8.506888201,1,0.018492119,5.16E-05,7.411547034,1.25E-13,0.300912339,0.763481341,6.671092677,2.54E-11,3.222534845,0.001270617,,,,,,,,,,,1,SignificantCoxHR,-0.568116264,1.93E-26,-5.613381893,ATRX,ENSG00000118922,KLF12,3267,ENSG00000085224,-0.288949757,116.4831538
0.702982699,0.001996008,0.001996008,0.718455549,0.001996008,0.001996008,0.767867694,0.001996008,0.001996008,0.703631982,0.001996008,0.001996008,0.715813442,0.001996008,0.001996008,TP53_code_potential_somatic,SomaticGeneMain,TF,0.809810248,0.597057354,-0.532228734,1,0.018883146,8.26E-06,7.411547034,1.25E-13,0.300912339,0.763481341,6.671092677,2.54E-11,3.222534845,0.001270617,,,,,,,,,,,1,SignificantCoxHR,-0.568116264,1.93E-26,-4.671388937,TP53,ENSG00000118922,KLF12,3267,ENSG00000141510,-0.288949757,116.4831538
